Entity,Code,Year,Under-five mortality rate,GDP per capita,Population,World region
Myanmar,MMR,2022,4.008713,5177.4326,53756790,Asia
Namibia,NAM,2022,3.7876105,7979.328,2889668,Africa
Nepal,NPL,2022,2.7342954,3013.5178,29715434,Asia
Netherlands,NLD,2022,0.39123422,49669.867,17904422,Europe
New Zealand,NZL,2022,0.4627388,38250.12,5131733,Oceania
Nicaragua,NIC,2022,1.5204623,5092.8413,6730661,North America
Niger,NER,2022,11.734437,1007.72095,25311977,Africa
Nigeria,NGA,2022,10.717279,5070.4927,223150906,Africa
North Korea,PRK,2022,1.7019894,1568.847,26328842,Asia
North Macedonia,MKD,2022,0.4644645,14050.995,1840236,Europe
Norway,NOR,2022,0.21674863,88366.22,5456795,Europe
Oman,OMN,2022,1.0522939,47988.65,4730227,Asia
Pakistan,PAK,2022,6.09599,5531.723,243700667,Asia
Palestine,PSE,2022,1.4335082,4775.202,5305274,Asia
Panama,PAN,2022,1.3261579,23557.02,4400772,North America
Paraguay,PRY,2022,1.7446114,8762.771,6760461,South America
Peru,PER,2022,1.5074155,12762.967,33475435,South America
Philippines,PHL,2022,2.7498808,8370.666,113964342,Asia
Poland,POL,2022,0.44402638,32468.402,38385734,Europe
Portugal,PRT,2022,0.31604403,28992.059,10417075,Europe
Qatar,QAT,2022,0.5246166,149171.11,2892465,Asia
Romania,ROU,2022,0.6752755,26197.904,19166776,Europe
Russia,RUS,2022,0.47520167,25437.107,145579890,Europe
Rwanda,RWA,2022,3.8024368,2198.0662,13651026,Africa
Saint Lucia,LCA,2022,1.730114,10452.165,178794,North America
Sao Tome and Principe,STP,2022,1.4455718,3751.6428,226313,Africa
Saudi Arabia,SAU,2022,0.64310217,53516.91,32175352,Asia
Senegal,SEN,2022,3.6965675,2660.6816,17651099,Africa
Serbia,SRB,2022,0.50787234,17097.686,6791218,Europe
Seychelles,SYC,2022,1.451536,31055.39,125532,Africa
Sierra Leone,SLE,2022,10.0846615,1690.4982,8276808,Africa
Singapore,SGP,2022,0.21521547,80320.086,5649886,Asia
Slovakia,SVK,2022,0.58764756,27519.287,5473194,Europe
Slovenia,SVN,2022,0.23191008,32673.762,2115230,Europe
South Africa,ZAF,2022,3.4539554,11415.887,62378419,Africa
South Korea,KOR,2022,0.27733305,41320.9,51782514,Asia
Spain,ESP,2022,0.30099192,34123.387,47828386,Europe
Sri Lanka,LKA,2022,0.64928186,10705.481,22834964,Asia
Sweden,SWE,2022,0.2485631,47126.13,10487333,Europe
Switzerland,CHE,2022,0.40237194,63323.254,8792180,Europe
Syria,SYR,2022,2.1439219,2494.7612,22462170,Asia
Tajikistan,TJK,2022,3.0329056,5507.5454,10182229,Asia
Tanzania,TZA,2022,4.0511246,3057.3286,64711821,Africa
Thailand,THA,2022,0.8131734,16421.072,71735320,Asia
Togo,TGO,2022,6.0379725,1586.5889,9089742,Africa
Trinidad and Tobago,TTO,2022,1.5435841,25773.006,1495922,North America
Tunisia,TUN,2022,1.1461811,10913.846,12119336,Africa
