team,player_name,conc_player_name,position,games_played,games_started,minutes_played,goals,accurate_pass_percentage,assists,assists_avg_over_90_mins,total_scoring_attempts,on_target_scoring_attempts,total_attacking_assists,tackles,fouls_committed,fouls_suffered,total_offside,yellow_cards,red_cards,goals_avg_over_90_mins,penalty_kick_goals,penalty_kick_taken,penalty_kick_percentage,accurate_shooting_percentage,successful_dribble,dribble_percentage,goals_and_assists,accurate_passes,total_passes,accurate_pass_percentage,crosses,accurate_long_balls,successful_short_passes,turnovers,tackles_percentage,interceptions,headed_duel,saves,penalty_kicks_conceded,long_ball_percentage,total_clearance
Chicago Red Stars,Julia Bianchi,JULIABIANCHI,MIDFIELDER,19,15,1334,0,82,5,0.34,10,2,5,24,17,22,1,3,0,0,0,0,0,20,16,53,5,552,674,82,2,31,519,244,62,22,22,,,,
Chicago Red Stars,Camryn Biegalski,CAMRYNBIEGALSKI,DEFENDER,9,2,273,0,62,0,0,0,0,0,3,5,2,2,0,0,0,0,0,0,0,4,50,0,29,47,62,0,0,29,38,50,2,9,,,,
Chicago Red Stars,Jenna Bike,JENNABIKE,FORWARD,16,2,424,0,75,0,0,3,0,0,8,7,10,4,2,0,0,0,0,0,0,7,44,0,114,151,75,5,5,104,85,73,7,12,,,,
Portland Thorns FC,Annabella Bixby,ANNABELLABIXBY,GOALKEEPER,21,21,1890,1,61,0,0,1,1,0,0,2,3,0,2,0,0.05,0,0,0,100,0,0,1,330,539,61,0,108,222,211,0,0,8,67,1,35,16
Racing Louisville FC,Jordyn Bloomer,JORDYNBLOOMER,GOALKEEPER,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bay FC,Theresa Boade,THERESABOADE,FORWARD,13,12,804,1,83,2,0.22,13,5,2,7,6,7,5,0,0,0.11,0,0,0,38,6,33,3,199,240,83,1,3,195,107,100,3,9,,,,
Racing Louisville FC,Ariadina Borges,ARIADINABORGES,MIDFIELDER,18,17,1459,1,85,0,0,23,10,0,23,20,28,0,4,0,0.06,0,0,0,43,13,57,1,586,688,85,1,34,551,176,62,15,30,,,,
Washington Spirit,Lyza Bosselmann,LYZABOSSELMANN,GOALKEEPER,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina Courage,Marisa Bova,MARISABOVA,GOALKEEPER,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chicago Red Stars,Emily Nicole Boyd,EMILY NICOLEBOYD,GOALKEEPER,2,2,180,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,70,59,0,19,22,29,0,0,3,8,0,41,9
